,after_point,before_point,box,condition,date,experiment_name,experiment_program,session_end,session_start,subject,data_file,event,session_time
0,010,0,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,session_start,0.0
1,350,0,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,chamber_light_on,0.0
2,150,0,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,trial_start,0.0
3,360,800,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,chamber_light_off,8.0
4,170,1000,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,central_light_on,10.0
5,220,326531,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,central_light_off,3265.31
6,180,326531,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,mel_light_on,3265.31
7,160,326531,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,max_light_on,3265.31
8,120,326531,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,resp_central_key,3265.31
9,110,329699,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,resp_max_key,3296.99
10,230,329700,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,mel_light_off,3297.0
11,210,329700,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,max_light_off,3297.0
12,140,329700,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,trial_end,3297.0
13,350,329900,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,chamber_light_on,3299.0
14,150,329900,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,trial_start,3299.0
15,360,330700,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,chamber_light_off,3307.0
16,170,330900,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,central_light_on,3309.0
17,220,333400,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,central_light_off,3334.0
18,180,333400,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,mel_light_on,3334.0
19,160,333400,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,max_light_on,3334.0
20,120,333400,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,resp_central_key,3334.0
21,110,333593,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,resp_max_key,3335.93
22,230,333594,5,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:07:38,P168,p168_s01_hgame,mel_light_off,3335.94
