,after_point,before_point,box,condition,date,experiment_name,experiment_program,session_end,session_start,subject,data_file,event,session_time
0,010,0,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,session_start,0.0
1,350,0,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,chamber_light_on,0.0
2,150,0,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,trial_start,0.0
3,360,800,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,chamber_light_off,8.0
4,170,1000,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,central_light_on,10.0
5,220,61851,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,central_light_off,618.51
6,180,61851,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,mel_light_on,618.51
7,160,61851,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,max_light_on,618.51
8,120,61851,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,resp_central_key,618.51
9,130,66995,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,resp_mel_key,669.95
10,230,66996,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,mel_light_off,669.96
11,210,66996,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,max_light_off,669.96
12,140,66996,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,trial_end,669.96
13,350,67196,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,chamber_light_on,671.96
14,150,67196,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,trial_start,671.96
15,360,67996,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,chamber_light_off,679.96
16,170,68196,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,central_light_on,681.96
17,220,77401,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,central_light_off,774.01
18,180,77401,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,mel_light_on,774.01
19,160,77401,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,max_light_on,774.01
20,120,77401,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,resp_central_key,774.01
21,130,77548,6,0,06/03/17,harvard_game,harvard_game_pigeons,17:08:49,16:08:03,P498,p498_s01_hgame,resp_mel_key,775.48
