,trial,choice,result,game_state,scheduled_probability,rt_central,rt_choice,time_start,time_end,subject,date,med_program_file,session
57,058,maximization,not_rewarded,6,0.3333,1.39,1.69,892.51,905.59,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
58,059,maximization,not_rewarded,6,0.3333,0.68,2.13,907.59,920.4,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
59,060,maximization,not_rewarded,6,0.3333,1.5,1.22,922.4,935.12,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
60,061,maximization,rewarded,6,0.3333,1.69,1.24,937.12,953.05,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
61,062,maximization,not_rewarded,6,0.3333,2.68,1.7,955.05,969.43,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
62,063,maximization,not_rewarded,6,0.3333,2.06,1.4,971.43,984.89,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
63,064,maximization,not_rewarded,6,0.3333,1.55,2.0,986.89,1000.44,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
64,065,maximization,not_rewarded,6,0.3333,1.72,2.48,1002.44,1016.64,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
65,066,maximization,not_rewarded,6,0.3333,1.86,4.14,1018.64,1034.64,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
66,067,maximization,rewarded,6,0.3333,1.48,0.78,1036.64,1051.9,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
67,068,maximization,not_rewarded,6,0.3333,0.6,2.29,1053.9,1066.79,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
68,069,maximization,not_rewarded,6,0.3333,1.18,1.07,1068.79,1081.04,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
69,070,maximization,not_rewarded,6,0.3333,1.07,0.84,1083.04,1094.95,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
70,071,maximization,rewarded,6,0.3333,1.93,1.12,1096.95,1113.0,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
71,072,maximization,not_rewarded,6,0.3333,1.55,0.76,1115.0,1127.31,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
72,073,maximization,not_rewarded,6,0.3333,1.18,2.26,1129.31,1142.75,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
73,074,maximization,not_rewarded,6,0.3333,1.51,1.19,1144.75,1157.45,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
74,075,maximization,not_rewarded,6,0.3333,1.03,0.99,1159.45,1171.47,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
75,076,maximization,rewarded,6,0.3333,0.96,1.46,1173.47,1188.89,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
76,077,maximization,not_rewarded,6,0.3333,0.64,0.75,1190.89,1202.28,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
77,078,maximization,rewarded,6,0.3333,0.68,1.35,1204.28,1219.31,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
78,079,maximization,rewarded,6,0.3333,1.9,0.8,1221.31,1237.01,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
79,080,maximization,not_rewarded,6,0.3333,0.68,1.57,1239.01,1251.26,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
80,081,maximization,not_rewarded,6,0.3333,2.46,1.75,1253.26,1267.47,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
81,082,maximization,rewarded,6,0.3333,0.49,1.38,1269.47,1284.34,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
82,083,maximization,not_rewarded,6,0.3333,1.09,0.78,1286.34,1298.21,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
83,084,maximization,not_rewarded,6,0.3333,0.98,0.98,1300.21,1312.17,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
84,085,maximization,not_rewarded,6,0.3333,1.49,1.95,1314.17,1327.61,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
85,086,maximization,rewarded,6,0.3333,0.8,0.99,1329.61,1344.4,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
86,087,maximization,not_rewarded,6,0.3333,1.08,1.11,1346.4,1358.59,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
87,088,maximization,rewarded,6,0.3333,16.44,1.29,1360.59,1391.32,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
88,089,maximization,not_rewarded,6,0.3333,1.31,1.16,1393.32,1405.79,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
89,090,maximization,not_rewarded,6,0.3333,1.27,1.37,1407.79,1420.43,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
90,091,maximization,not_rewarded,6,0.3333,2.36,1.18,1422.43,1435.97,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
91,092,maximization,not_rewarded,6,0.3333,1.28,0.81,1437.97,1450.06,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
92,093,maximization,not_rewarded,6,0.3333,1.24,0.81,1452.06,1464.11,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
93,094,maximization,not_rewarded,6,0.3333,1.4,0.77,1466.11,1478.28,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
94,095,maximization,not_rewarded,6,0.3333,2.57,1.71,1480.28,1494.56,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
95,096,maximization,not_rewarded,6,0.3333,1.42,1.4,1496.56,1509.38,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
